year,mileage,tax,mpg,engineSize,model_ 2 Series,model_ 3 Series,model_ 4 Series,model_ 5 Series,model_ 6 Series,model_ 7 Series,model_ 8 Series,model_ M2,model_ M3,model_ M4,model_ M5,model_ M6,model_ X1,model_ X2,model_ X3,model_ X4,model_ X5,model_ X6,model_ X7,model_ Z3,model_ Z4,model_ i3,model_ i8,transmission_Manual,transmission_Semi-Auto,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,log_price
0.8169148933945245,-0.6519779178274199,0.22580934347865128,-0.19546086445285848,-0.2951064242419407,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,10.08539235583374
0.8169148933945245,-0.7519293357125307,0.22580934347865128,-0.6058355701936393,1.5256102753305938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,10.752697868727662
-0.4506407094544664,1.5364613574256676,0.22580934347865128,-0.10175325448055421,1.5256102753305938,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.61573881119536
0.8169148933945245,-0.9049762185258755,0.06184017931750199,2.7385567167489455,-1.205464774028208,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,11.078288979561783
-1.7181963123034574,1.5107084672508957,1.1276397463649723,-0.35056311544150004,1.5256102753305938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,9.910463166272553
-1.2956777780204605,0.40742762752582085,0.5537476718009499,-0.1631478954968915,1.5256102753305938,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,9.648466262323895
-0.4506407094544664,1.0503755553768441,-1.6598360443745654,0.25045810713948635,-0.2951064242419407,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.581903928408666
0.8169148933945245,-1.0158169757750104,0.22580934347865128,-0.3990325688754505,-1.205464774028208,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,10.020826044953361
-0.4506407094544664,-0.2674729603568642,-0.1021289848436473,-0.13406622343652122,-1.205464774028208,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,9.417842227300435
-0.02812217517146942,-0.5712219412299864,1.1276397463649723,-0.3020936620075495,1.5256102753305938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,10.491135318903403
0.8169148933945245,-0.9186475059026064,0.22580934347865128,-0.6963118832703471,1.5256102753305938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,10.915088464214607
